date,label
6/22/2021,55.03
6/23/2021,55.49
6/24/2021,55.48
6/27/2021,55.9
6/28/2021,56.04
6/29/2021,56.78
6/30/2021,58.06
7/1/2021,57.76
7/4/2021,58.28
7/5/2021,54.44
7/6/2021,53.03
7/7/2021,52.77
7/8/2021,54.67
7/11/2021,52.12
7/12/2021,53.26
7/13/2021,53.78
7/14/2021,53.37
7/15/2021,53.28
7/18/2021,52.81
7/19/2021,51.59
7/20/2021,52.51
7/21/2021,51.16
7/22/2021,51.26
7/25/2021,53.57
7/26/2021,53.28
7/27/2021,54.2
7/28/2021,54.41
7/29/2021,53.69
8/1/2021,54.79
8/2/2021,54.55
8/3/2021,55.82
8/4/2021,56.34
8/5/2021,57.02
8/8/2021,56.98
8/9/2021,57.77
8/10/2021,58.14
8/11/2021,56.63
8/12/2021,55.74
8/15/2021,58.52
8/16/2021,57.56
8/17/2021,57.45
8/18/2021,53.84
8/19/2021,54.72
8/22/2021,55.67
8/23/2021,56.97
8/24/2021,56.87
8/25/2021,57.19
8/26/2021,59.32
8/29/2021,61.08
8/30/2021,61.07
8/31/2021,60.42
9/1/2021,61.83
9/2/2021,61.63
9/5/2021,62.61
9/6/2021,62.28
9/7/2021,62.74
9/8/2021,63.04
9/9/2021,61.22
9/12/2021,61.37
9/13/2021,60.16
9/14/2021,60.18
9/15/2021,59.63
9/16/2021,59.82
9/19/2021,61.02
9/20/2021,60.5
9/21/2021,60.94
9/22/2021,60.89
9/23/2021,63.29
9/26/2021,64.72
9/27/2021,62.29
9/28/2021,63.28
9/29/2021,62.16
9/30/2021,62.45
10/3/2021,63.82
10/4/2021,65.16
10/5/2021,59.58
10/6/2021,60.81
10/7/2021,58.76
10/10/2021,59.58
10/11/2021,59.34
10/12/2021,59.45
10/13/2021,61.79
10/14/2021,59.79
10/17/2021,58.92
10/18/2021,54.92
10/19/2021,58.14
10/20/2021,58.37
10/21/2021,58.64
10/24/2021,59.35
10/25/2021,60.16
10/26/2021,60.27
10/27/2021,58.94
10/28/2021,59.08
10/31/2021,57.29
11/1/2021,59.79
11/2/2021,60.15
11/3/2021,60.18
11/4/2021,59.73
11/7/2021,60.96
11/8/2021,60.75
11/9/2021,63.48
11/10/2021,64.02
11/11/2021,63.58
11/14/2021,66.22
11/15/2021,67.83
11/16/2021,67.45
11/17/2021,69.38
11/18/2021,69.65
11/21/2021,70.22
11/22/2021,69.49
11/23/2021,73.23
11/24/2021,74.79
11/25/2021,73.12
11/28/2021,74.54
11/29/2021,75.73
11/30/2021,77.2
12/1/2021,80.25
12/2/2021,78.64
12/5/2021,81.65
12/6/2021,85.34
12/7/2021,89.41
12/8/2021,80.88
12/9/2021,84.37
12/12/2021,82.72
12/13/2021,80.12
