date,stoxx50
4/27/2022,3734.64
4/28/2022,3777.02
4/29/2022,3802.86
5/2/2022,3732.44
5/3/2022,3761.19
5/4/2022,3724.99
5/5/2022,3696.63
5/6/2022,3629.17
5/9/2022,3526.86
5/10/2022,3554.8
5/11/2022,3647.87
5/12/2022,3613.43
5/13/2022,3703.42
5/16/2022,3685.34
5/17/2022,3741.51
5/18/2022,3690.74
5/19/2022,3640.55
5/20/2022,3657.03
5/23/2022,3708.39
5/24/2022,3647.56
5/25/2022,3677.1
5/26/2022,3740.31
5/27/2022,3808.86
5/30/2022,3841.62
5/31/2022,3789.21
6/1/2022,3759.54
6/2/2022,3795.13
6/3/2022,3783.66
6/6/2022,3838.42
6/7/2022,3806.74
6/8/2022,3788.93
6/9/2022,3724.45
6/10/2022,3599.2
6/13/2022,3502.5
6/14/2022,3475.18
6/15/2022,3532.32
6/16/2022,3427.91
6/17/2022,3438.46
6/20/2022,3469.83
6/21/2022,3494
6/22/2022,3464.64
6/23/2022,3436.29
6/24/2022,3533.17
6/27/2022,3538.88
6/28/2022,3549.29
6/29/2022,3514.32
6/30/2022,3454.86
7/1/2022,3448.31
7/4/2022,3452.42
7/5/2022,3359.83
7/6/2022,3421.84
7/7/2022,3488.5
7/8/2022,3506.55
7/11/2022,3471.69
7/12/2022,3487.05
7/13/2022,3453.97
7/14/2022,3396.61
7/15/2022,3477.2
7/18/2022,3511.86
7/19/2022,3587.44
7/20/2022,3585.24
7/21/2022,3596.51
7/22/2022,3596.49
7/25/2022,3604.16
7/26/2022,3575.36
7/27/2022,3607.78
7/28/2022,3652.2
7/29/2022,3708.1
8/1/2022,3706.62
8/2/2022,3684.63
8/3/2022,3732.54
8/4/2022,3754.6
8/5/2022,3725.39
8/8/2022,3757.22
8/9/2022,3715.37
8/10/2022,3749.35
8/11/2022,3757.05
8/12/2022,3776.81
8/15/2022,3789.62
8/16/2022,3805.22
8/17/2022,3756.06
8/18/2022,3777.38
8/19/2022,3730.32
8/22/2022,3658.22
8/23/2022,3652.52
8/24/2022,3667.46
8/25/2022,3674.54
8/26/2022,3603.68
8/29/2022,3570.51
8/30/2022,3561.92
8/31/2022,3517.25
9/1/2022,3456.7
9/2/2022,3544.38
9/5/2022,3490.01
9/6/2022,3500.14
9/7/2022,3502.09
9/8/2022,3512.38
9/9/2022,3570.04
9/12/2022,3646.51
9/13/2022,3586.18
9/14/2022,3567.56
9/15/2022,3541.79
9/16/2022,3500.41
9/19/2022,3499.49
9/20/2022,3467.09
9/21/2022,3491.87
9/22/2022,3427.14
9/23/2022,3348.6
9/26/2022,3342.56
9/27/2022,3328.65
9/28/2022,3335.3
9/29/2022,3279.04
9/30/2022,3318.2
10/3/2022,3342.17
10/4/2022,3484.48
10/5/2022,3447.72
10/6/2022,3433.45
10/7/2022,3375.46
10/10/2022,3356.88
10/11/2022,3340.35
10/12/2022,3331.53
10/13/2022,3362.4
10/14/2022,3381.73
10/17/2022,3441.64
10/18/2022,3463.83
10/19/2022,3471.24
10/20/2022,3492.85
10/21/2022,3476.63
10/24/2022,3527.79
10/25/2022,3585.58
10/26/2022,3605.31
10/27/2022,3604.51
10/28/2022,3613.02
10/31/2022,3617.54
11/1/2022,3651.02
11/2/2022,3622.01
11/3/2022,3593.18
11/4/2022,3688.33
11/7/2022,3708.8
11/8/2022,3739.28
11/9/2022,3728.03
11/10/2022,3846.56
11/11/2022,3868.5
11/14/2022,3887.51
11/15/2022,3915.09
11/16/2022,3882.78
11/17/2022,3878.42
11/18/2022,3924.84
11/21/2022,3909.28
11/22/2022,3929.9
11/23/2022,3946.44
11/24/2022,3961.99
11/25/2022,3962.41
11/28/2022,3935.51
11/29/2022,3934.44
11/30/2022,3964.72
12/1/2022,3984.5
12/2/2022,3977.9
12/5/2022,3956.53
12/6/2022,3939.19
12/7/2022,3920.9
12/8/2022,3921.27
12/9/2022,3942.62
12/12/2022,3921.82
12/13/2022,3986.83
12/14/2022,3975.26
12/15/2022,3835.7
12/16/2022,3804.02
12/19/2022,3811.24
12/20/2022,3802.49
12/21/2022,3872.15
12/22/2022,3823.29
12/23/2022,3817.01
12/27/2022,3832.89
12/28/2022,3808.82
12/29/2022,3850.07
12/30/2022,3793.62
1/2/2023,3856.09
1/3/2023,3882.29
1/4/2023,3973.97
1/5/2023,3959.48
1/6/2023,4017.83
1/9/2023,4068.62
1/10/2023,4057.46
1/11/2023,4099.76
1/12/2023,4126.68
1/13/2023,4150.8
1/16/2023,4157
1/17/2023,4174.33
1/18/2023,4174.34
1/19/2023,4094.28
1/20/2023,4119.9
1/23/2023,4150.82
1/24/2023,4153.02
1/25/2023,4148.11
1/26/2023,4173.98
1/27/2023,4178.01
1/30/2023,4158.63
1/31/2023,4163.45
2/1/2023,4171.44
2/2/2023,4241.12
2/3/2023,4257.98
2/6/2023,4205.45
2/7/2023,4209.31
2/8/2023,4209.15
2/9/2023,4250.14
2/10/2023,4197.94
2/13/2023,4241.36
2/14/2023,4238.76
2/15/2023,4280.04
2/16/2023,4297.24
2/17/2023,4274.92
2/20/2023,4271.18
2/21/2023,4250.4
2/22/2023,4242.88
2/23/2023,4258.16
2/24/2023,4178.82
2/27/2023,4248.01
2/28/2023,4238.38
3/1/2023,4215.75
3/2/2023,4240.59
3/3/2023,4294.8
3/6/2023,4313.78
3/7/2023,4278.96
3/8/2023,4288.45
3/9/2023,4286.12
3/10/2023,4229.53
3/13/2023,4096.54
3/14/2023,4179.47
3/15/2023,4034.92
3/16/2023,4116.98
3/17/2023,4064.99
3/20/2023,4119.42
3/21/2023,4181.6
3/22/2023,4195.7
3/23/2023,4207.14
3/24/2023,4130.62
3/27/2023,4164.62
3/28/2023,4168.21
3/29/2023,4231.27
3/30/2023,4285.42
3/31/2023,4315.05
4/3/2023,4311.05
4/4/2023,4315.32
4/5/2023,4298.36
4/6/2023,4309.45
4/11/2023,4333.29
4/12/2023,4334.03
4/13/2023,4363.24
4/14/2023,4390.75
4/17/2023,4367.61
4/18/2023,4393.95
4/19/2023,4393.57
4/20/2023,4384.86
4/21/2023,4408.59
4/24/2023,4401.8
4/25/2023,4377.85
4/26/2023,4347.71
4/27/2023,4358.05
4/28/2023,4359.31
5/2/2023,4294.85
5/3/2023,4310.18
5/4/2023,4287.03
5/5/2023,4340.43
5/8/2023,4348.65
5/9/2023,4323.09
5/10/2023,4306.76
5/11/2023,4309.75
5/12/2023,4317.88
5/15/2023,4316.41
5/16/2023,4315.51
5/17/2023,4323.23
5/18/2023,4367.45
5/19/2023,4395.3
5/22/2023,4385.63
5/23/2023,4342.38
5/24/2023,4263.74
5/25/2023,4269.64
5/26/2023,4337.5
5/29/2023,4320.01
5/30/2023,4291.58
5/31/2023,4218.04
6/1/2023,4257.61
6/2/2023,4323.52
6/5/2023,4293.24
6/6/2023,4295.22
6/7/2023,4291.91
6/8/2023,4297.68
6/9/2023,4289.79
6/12/2023,4316.49
6/13/2023,4347.55
6/14/2023,4375.98
6/15/2023,4365.12
6/16/2023,4394.82
6/19/2023,4362.38
6/20/2023,4343.14
6/21/2023,4322.75
6/22/2023,4304.47
6/23/2023,4271.61
6/26/2023,4280.57
6/27/2023,4305.26
6/28/2023,4344.75
6/29/2023,4354.69
6/30/2023,4399.09
7/3/2023,4398.15
7/4/2023,4390.99
7/5/2023,4350.71
7/6/2023,4223.09
7/7/2023,4236.6
7/10/2023,4256.51
7/11/2023,4286.56
7/12/2023,4360.46
7/13/2023,4391.76
7/14/2023,4400.11
7/17/2023,4356.79
7/18/2023,4369.73
7/19/2023,4362.28
7/20/2023,4373.73
7/21/2023,4391.41
7/24/2023,4383.03
7/25/2023,4391.3
7/26/2023,4346.15
7/27/2023,4447.44
7/28/2023,4466.5
7/31/2023,4471.31
8/1/2023,4407.54
8/2/2023,4336.5
8/3/2023,4304.63
8/4/2023,4332.91
8/7/2023,4337.5
8/8/2023,4288.85
8/9/2023,4317.33
8/10/2023,4384.04
8/11/2023,4321.33
8/14/2023,4330.23
8/15/2023,4288.57
8/16/2023,4284.27
8/17/2023,4227.83
8/18/2023,4212.95
8/21/2023,4224.87
8/22/2023,4260.37
8/23/2023,4266.67
8/24/2023,4232.22
8/25/2023,4236.25
8/28/2023,4293.69
8/29/2023,4326.47
8/30/2023,4315.31
