date,label," Price Index for Consumer: Energy(electricity, heat, fuel) "
2021-11-06,63.58,124.31
2021-11-13,69.65,125.22076923076924
2021-11-20,73.12,126.13153846153848
2021-11-27,78.64,127.0423076923077
2021-12-04,84.37,127.95307692307692
2021-12-11,74.02,128.86384615384617
2021-12-18,76.31,129.7746153846154
2021-12-25,80.65,130.68538461538463
2022-01-01,85.42,131.59615384615384
2022-01-08,82.08,132.50692307692307
2022-01-15,84.47,133.4176923076923
2022-01-22,89.22,134.32846153846154
2022-01-29,96.45,135.23923076923077
2022-02-05,92.87,136.15
2022-02-12,89.47,137.06076923076924
2022-02-19,88.14,137.97153846153847
2022-02-26,65.1,138.8823076923077
2022-03-05,76.76,139.79307692307694
2022-03-12,78.89,140.70384615384617
2022-03-19,78.6,141.61461538461538
2022-03-26,78.49,142.5253846153846
2022-04-02,80.09,143.43615384615384
2022-04-09,79.97,144.34692307692308
2022-04-16,88.99,145.2576923076923
2022-04-23,84.45,146.16846153846154
2022-04-30,91.54,147.07923076923078
2022-05-07,88.48,147.99
2022-05-14,80.39,148.69628571428572
2022-05-21,84.2,149.40257142857143
2022-05-28,86.87,150.10885714285715
2022-06-04,81.86,150.81514285714286
2022-06-11,82.37,151.52142857142857
2022-06-18,83.43,152.22771428571428
2022-06-25,85.58,152.934
2022-07-02,82.79,153.6402857142857
2022-07-09,85.38,154.34657142857145
2022-07-16,76.3,155.05285714285716
2022-07-23,78.55,155.75914285714288
2022-07-30,84.76,156.4654285714286
2022-08-06,88.87,157.1717142857143
2022-08-13,98.01,157.878
2022-08-20,90.31,158.58428571428573
2022-08-27,77.89,159.29057142857144
2022-09-03,66.08,159.99685714285715
2022-09-10,73.27,160.70314285714286
2022-09-17,65.77,161.40942857142858
2022-09-24,66.73,162.1157142857143
2022-10-01,69.85,162.822
2022-10-08,68.02,163.52828571428572
2022-10-15,68.72,164.23457142857143
2022-10-22,81.21,164.94085714285714
2022-10-29,76.36,165.64714285714285
2022-11-05,75.84,166.3534285714286
2022-11-12,72.47,167.0597142857143
2022-11-19,78.97,167.76600000000002
2022-11-26,87.98,168.47228571428573
2022-12-03,87.73,169.17857142857144
2022-12-10,83.68,169.88485714285716
2022-12-17,86.85,170.59114285714287
2022-12-24,79.4,171.29742857142858
2022-12-31,75.55,172.0037142857143
2023-01-07,77.2,172.71
2023-01-14,82.6,172.33641025641026
2023-01-21,86.94,171.9628205128205
2023-01-28,90.9,171.58923076923077
2023-02-04,90.44,171.21564102564102
2023-02-11,93.33,170.8420512820513
2023-02-18,94.79,170.46846153846155
2023-02-25,89.27,170.0948717948718
2023-03-04,96.83,169.72128205128206
2023-03-11,85.57,169.3476923076923
2023-03-18,85.4,168.97410256410257
2023-03-25,91.75,168.60051282051282
2023-04-01,96.75,168.22692307692307
2023-04-08,94.11,167.85333333333332
2023-04-15,89.86,167.47974358974358
2023-04-22,87.65,167.10615384615386
2023-04-29,84.96,166.7325641025641
2023-05-06,88.93,166.35897435897436
2023-05-13,89.43,165.98538461538462
2023-05-20,83.13,165.61179487179487
2023-05-27,78.52,165.23820512820512
2023-06-03,86.14,164.86461538461538
2023-06-10,91.92,164.49102564102563
2023-06-17,87.55,164.11743589743588
2023-06-24,89.57,163.74384615384616
2023-07-01,86.15,163.37025641025642
2023-07-08,86.35,162.99666666666667
2023-07-15,91.82,162.62307692307692
2023-07-22,88.7,162.24948717948718
2023-07-29,83.41,161.87589743589743
2023-08-05,86.8,161.50230769230768
2023-08-12,88.05,161.1287179487179
2023-08-19,85.25,160.7551282051282
2023-08-26,85.64,160.38153846153844
2023-09-02,81.62,160.0079487179487
2023-09-09,82.1,159.63435897435895
2023-09-16,85.3,159.26076923076923
2023-09-23,81.45,158.88717948717948
2023-09-30,80.62,158.51358974358973
2023-10-07,85.66,158.14
2023-10-14,81.67,158.211875
2023-10-21,79.36,158.28375
2023-10-28,77.2,158.35562499999995
2023-11-04,78.5,158.42749999999998
2023-11-11,76.23,158.499375
2023-11-18,76.46,158.57125
2023-11-25,72.45,158.643125
