date,label,sentiment
2019-09-16,27.24,-0.76835
2019-09-17,26.47,-0.87819
2019-09-18,26.98,-0.89433
2019-09-19,27.59,0.0
2019-09-22,26.84,0.0
2019-09-23,26.58,0.733667
2019-09-24,26.26,-0.50944
2019-09-25,26.69,-0.83313
2019-09-26,26.34,-0.70386
2019-09-29,25.76,0.0
2019-09-30,26.05,-0.81845
2019-10-01,25.2,0.0
2019-10-02,24.17,0.910077
2019-10-03,23.91,-0.93537
2019-10-06,24.35,0.0
2019-10-07,23.5,0.801855
2019-10-08,23.6,0.715969
2019-10-09,24.18,-0.77861
2019-10-10,25.36,-0.91411
2019-10-13,25.06,0.0
2019-10-14,26.64,0.0
2019-10-15,27.23,0.627741
2019-10-16,27.0,0.0
2019-10-17,26.8,-0.47344
2019-10-20,26.83,0.0
2019-10-21,26.52,-0.9277
2019-10-22,25.59,0.938844
2019-10-23,26.28,0.37207
2019-10-24,25.8,0.904004
2019-10-27,25.93,0.0
2019-10-28,26.25,-0.94679
2019-10-29,26.76,0.697573
2019-10-30,26.35,0.0
2019-10-31,26.02,-0.94345
2019-11-03,26.37,0.0
2019-11-04,26.24,0.92402
2019-11-05,25.52,-0.95565
2019-11-06,25.65,0.0
2019-11-07,25.56,0.83628
2019-11-10,25.65,0.0
2019-11-11,24.83,-0.96106
2019-11-12,25.1,-0.92744
2019-11-13,24.67,-0.96281
2019-11-14,24.57,-0.8959
2019-11-17,24.13,0.0
2019-11-18,24.17,-0.82959
2019-11-19,24.75,0.950368
2019-11-20,24.66,0.885982
2019-11-21,25.31,-0.44176
2019-11-24,25.16,0.0
2019-11-25,25.11,0.634231
2019-11-26,25.84,0.870942
2019-11-27,25.73,-0.88742
2019-11-28,25.94,0.0
2019-12-01,25.06,0.0
2019-12-02,24.74,0.77527
2019-12-03,25.48,0.843767
2019-12-04,25.43,0.940907
2019-12-05,25.68,-0.94808
2019-12-08,25.87,0.0
2019-12-09,25.68,0.708344
2019-12-10,25.19,-0.81452
2019-12-11,25.79,0.947542
2019-12-12,24.71,0.928879
2019-12-15,25.52,0.0
2019-12-16,26.61,-0.95463
2019-12-17,27.13,0.862638
2019-12-18,27.38,-0.75167
2019-12-19,27.21,-0.96992
2019-12-22,27.08,0.0
2019-12-23,26.62,0.0
2019-12-25,26.62,0.0
2019-12-26,27.25,0.904549
2019-12-29,25.63,0.0
2019-12-30,25.18,0.0
2020-01-01,24.9,0.0
2020-01-02,25.5,0.0
2020-01-05,24.74,0.0
2020-01-06,25.06,-0.95744
2020-01-07,24.6,-0.97422
2020-01-08,25.2,-0.8589
2020-01-09,24.73,0.564312
2020-01-12,24.66,0.0
2020-01-13,24.37,0.534515
2020-01-14,25.04,0.927684
2020-01-15,25.37,0.64103
2020-01-16,25.97,0.93809
2020-01-19,25.7,0.0
2020-01-20,25.45,0.896816
2020-01-21,25.55,0.918991
2020-01-22,25.21,0.853255
2020-01-23,24.87,0.870276
2020-01-26,25.05,0.0
2020-01-27,25.1,0.0
2020-01-28,24.43,-0.95738
2020-01-29,24.17,-0.74416
2020-01-30,24.31,-0.95478
2020-02-02,23.63,0.0
2020-02-03,23.78,-0.97145
2020-02-04,24.19,0.873263
2020-02-05,23.98,-0.96838
2020-02-06,23.75,0.935282
2020-02-09,23.58,0.0
2020-02-10,23.74,-0.95119
2020-02-11,24.31,0.7704
2020-02-12,24.82,-0.96357
2020-02-13,24.71,-0.93908
2020-02-16,25.47,0.0
2020-02-17,25.56,0.812714
2020-02-18,26.13,-0.93638
2020-02-19,26.06,0.942889
2020-02-20,26.03,0.86099
2020-02-23,25.0,0.0
2020-02-24,24.62,-0.78429
2020-02-25,24.69,0.499121
2020-02-26,24.02,-0.92602
2020-02-27,24.02,-0.97325
2020-03-01,23.93,0.0
2020-03-02,23.77,-0.79582
2020-03-03,24.24,0.483258
2020-03-04,24.21,-0.90575
2020-03-05,23.83,0.0
2020-03-08,23.68,0.0
2020-03-09,24.5,0.0
2020-03-10,24.34,-0.87691
2020-03-11,22.96,0.866088
2020-03-12,22.38,0.944173
2020-03-15,19.98,0.0
2020-03-16,19.05,-0.96541
2020-03-17,16.12,-0.97353
2020-03-18,17.19,0.611593
2020-03-19,16.84,0.501478
2020-03-22,16.28,0.0
2020-03-23,17.5,-0.7507
2020-03-24,18.21,-0.93574
2020-03-25,18.06,-0.95973
2020-03-26,17.11,0.893666
2020-03-29,17.78,0.0
2020-03-30,18.42,-0.95159
2020-03-31,17.84,-0.64617
2020-04-01,18.82,0.729238
2020-04-02,18.73,-0.9499
2020-04-05,21.17,0.0
2020-04-06,21.3,-0.72463
2020-04-07,21.93,0.867265
2020-04-08,21.86,0.0
2020-04-13,20.57,-0.96449
2020-04-14,20.02,0.632125
2020-04-15,21.69,0.887813
2020-04-16,22.48,-0.97513
2020-04-19,22.15,0.0
2020-04-20,20.64,-0.96823
2020-04-21,21.45,-0.93976
